Start,End,Duration,Subject,Task
2020-10-03 17:28:00.000000,2020-10-03 19:48:00.000000,0 days 02:20:00.000000000,Brainteasers Prep,Green Book
2020-10-04 09:45:00.000000,2020-10-04 10:30:00.000000,0 days 00:45:00.000000000,Econ Fed,Make MSLP Slides
2020-10-04 11:45:00.000000,2020-10-04 13:30:00.000000,0 days 01:45:00.000000000,Econ Fed,Meeting
2020-10-04 13:30:00.000000,2020-10-04 14:30:00.000000,0 days 01:00:00.000000000,Behavioral Prep,Mock Interview with Edward
2020-10-04 15:00:00.000000,2020-10-04 16:45:00.000000,0 days 01:45:00.000000000,Behavioral Prep,Add More Answers
2020-10-04 17:00:00.000000,2020-10-04 19:00:00.000000,0 days 02:00:00.000000000,Brainteasers Prep,Brainteasers
2020-10-04 19:00:00.000000,2020-10-04 20:00:00.000000,0 days 01:00:00.000000000,Behavioral Prep,Mock Interview with David
2020-10-04 20:10:00.000000,2020-10-04 20:45:00.000000,0 days 00:00:35.000000000,CIS520,HW3
2020-10-04 20:45:00.000000,2020-10-04 22:00:00.000000,0 days 01:45:00.000000000,Probability,Probability Review
2020-10-05 08:30:00.000000,2020-10-05 10:30:00.000000,0 days 02:00:00.000000000,Recruiting,Mock Interview with Sean
2020-10-05 11:45:00.000000,2020-10-05 14:15:00.000000,0 days 02:30:00.000000000,Behavioral Prep,Prep
2020-10-05 14:30:00.000000,2020-10-05 16:00:00.000000,0 days 01:30:00.000000000,Probability,Review before Interview
2020-10-05 16:30:00.000000,2020-10-05 17:15:00.000000,0 days 00:45:00.000000000,Recruiting,SIG Interview
2020-10-05 18:45:00.000000,2020-10-05 20:00:00.000000,0 days 01:15:00.000000000,CIS520,HW3
2020-10-05 20:00:00.000000,2020-10-05 20:45:00.000000,0 days 00:45:00.000000000,Econ Fed,Meeting
2020-10-05 21:45:00.000000,2020-10-05 23:00:00.000000,0 days 01:15:00.000000000,CIS520,HW3
2020-10-06 14:25:31.402923,2020-10-06 18:06:29.412120,0 days 03:40:58.009197000,Math Prep,Linear Algebra
2020-10-07 09:14:02.632289,2020-10-07 10:19:50.065254,0 days 01:05:47.432965000,CIS520,Boosting Lecture
2020-10-07 10:39:53.463067,2020-10-07 13:31:26.780692,0 days 02:51:33.317625000,Probability,Website Notes
2020-10-07 15:45:00.000000,2020-10-07 17:00:00.000000,0 days 01:15:00.000000000,Recruiting,IMC Test Prep
2020-10-07 17:00:00.000000,2020-10-07 18:00:00.000000,0 days 01:00:00.000000000,Recruiting,IMC Test
2020-10-07 18:30:00.000000,2020-10-07 19:20:00.000000,0 days 00:50:00.000000000,Recruiting,IMC Neurolympics
2020-10-07 20:00:00.000000,2020-10-07 20:45:00.000000,0 days 00:45:00.000000000,Econ Fed,Talk with Brian
2020-10-08 06:45:00.000000,2020-10-08 07:15:00.000000,0 days 00:30:00.000000000,CIS520,Listen to Lecture
2020-10-08 10:45:00.000000,2020-10-08 12:35:00.000000,0 days 01:50:00.000000000,CIS520,HW4
2020-10-08 13:00:00.000000,2020-10-08 14:25:00.000000,0 days 01:25:00.000000000,CIS520,HW4
2020-10-08 14:55:39.115994,2020-10-08 22:35:09.306639,0 days 07:39:30.190645000,CIS520,Listen to Lecture
2020-10-10 11:37:45.013131,2020-10-10 16:05:21.524346,0 days 04:27:36.511215000,CIS520,PyTorch
2020-10-11 13:44:45.416139,2020-10-11 15:19:01.165892,0 days 01:34:15.749753000,FNCE206,Revision
2020-10-12 09:15:00.000000,2020-10-12 11:45:00.000000,0 days 02:30:00.000000000,Recruiting,Temasek Test Prep
2020-10-12 12:00:00.000000,2020-10-12 13:30:00.000000,0 days 01:30:00.000000000,Recruiting,Temasek Test
2020-10-12 15:00:00.000000,2020-10-12 15:40:00.000000,0 days 00:40:00.000000000,Recruiting,Temasek Test
2020-10-12 16:10:00.556145,2020-10-12 18:18:44.153298,0 days 02:08:43.597153000,CIS520,Past Midterm
2020-10-12 18:20:22.848015,2020-10-12 19:50:54.206709,0 days 01:30:31.358694000,FNCE206,Past Midterm
2020-10-12 19:53:00.000000,2020-10-12 20:13:00.000000,0 days 00:20:00.000000000,CIS520,HW4
2020-10-12 20:16:00.000000,2020-10-12 20:40:00.000000,0 days 00:24:00.000000000,ECON233,Lecture
2020-10-12 21:05:00.000000,2020-10-12 21:50:00.000000,0 days 00:45:00.000000000,CIS520,Midterm Prep w Matt
2020-10-12 21:55:00.000000,2020-10-12 22:30:00.000000,0 days 00:35:00.000000000,Recruiting,Data Science Internship Scouting
2020-10-12 22:40:00.000000,2020-10-12 23:10:00.000000,0 days 00:30:00.000000000,Recruiting,Behavioral Prep w QH
2020-10-13 10:07:00.000000,2020-10-13 10:45:00.000000,0 days 00:38:00.000000000,ECON246,HW5
2020-10-13 10:50:00.000000,2020-10-13 11:50:00.000000,0 days 01:00:00.000000000,Recruiting,EA Coffee Chat
2020-10-13 11:50:00.000000,2020-10-13 12:15:00.000000,0 days 00:25:00.000000000,ECON246,HW5
2020-10-13 13:55:00.000000,2020-10-13 15:05:00.000000,0 days 01:10:00.000000000,ECON233,Lectures and Quiz
2020-10-13 15:30:00.000000,2020-10-13 16:00:00.000000,0 days 00:30:00.000000000,ECON233,Lectures
2020-10-13 16:05:00.000000,2020-10-13 20:00:00.000000,0 days 03:55:00.000000000,FNCE206,Revision and Midterm
2020-10-14 06:45:00.000000,2020-10-14 07:15:00.000000,0 days 00:30:00.000000000,CIS520,Midterm Revision
2020-10-14 09:20:00.000000,2020-10-14 09:55:00.000000,0 days 00:35:00.000000000,CIS520,Midterm Revision
2020-10-14 10:00:00.000000,2020-10-14 11:40:00.000000,0 days 01:40:00.000000000,CIS520,Midterm Revision
2020-10-14 12:00:00.000000,2020-10-14 13:15:00.000000,0 days 01:15:00.000000000,CIS520,Midterm
2020-10-14 13:30:00.000000,2020-10-14 14:00:00.000000,0 days 00:30:00.000000000,ECON246,Watch Lecture
2020-10-14 15:00:00.000000,2020-10-14 17:15:00.000000,0 days 02:15:00.000000000,ECON246,Watch Lecture
2020-10-14 21:20:00.000000,2020-10-14 22:15:00.000000,0 days 00:55:00.000000000,Behavioral Prep,Temasek Prep
2020-10-14 22:30:00.000000,2020-10-14 23:00:00.000000,0 days 00:30:00.000000000,Econ Fed,Meeting
2020-10-15 09:00:00.000000,2020-10-15 11:30:00.000000,0 days 02:30:00.000000000,Behavioral Prep,Prep for Temasek Interview
2020-10-15 12:00:00.000000,2020-10-15 13:30:00.000000,0 days 01:30:00.000000000,Behavioral Prep,Prep for Temasek Interview
2020-10-15 14:30:00.000000,2020-10-15 15:00:00.000000,0 days 00:30:00.000000000,ECON246,HW6
2020-10-15 15:30:00.000000,2020-10-15 16:30:00.000000,0 days 01:00:00.000000000,Behavioral Prep,Prep for Temasek Interview
2020-10-15 17:30:00.000000,2020-10-15 18:45:00.000000,0 days 01:15:00.000000000,Recruiting,Temasek Interview
2020-10-15 20:00:00.000000,2020-10-15 20:30:00.000000,0 days 00:30:00.000000000,Recruiting,Apply for Data Science Companies
2020-10-16 14:15:12.314491,2020-10-16 15:29:10.279854,0 days 01:13:57.965363000,SQL Prep,SQL
2020-10-16 15:45:00.000000,2020-10-16 17:05:00.000000,0 days 01:20:00.000000000,CIS520,Perceptron Lecture
2020-10-17 10:44:57.809428,2020-10-17 15:37:01.707003,0 days 04:52:03.897575000,ECON246,Revision
2020-10-17 16:30:00.000000,2020-10-17 17:05:00.000000,0 days 00:35:00.000000000,ECON246,Midterm
2020-10-17 17:09:28.725695,2020-10-17 18:12:06.907199,0 days 01:02:38.181504000,SQL Prep,Intermediate Tutorial
2020-10-17 18:30:00.000000,2020-10-17 19:00:00.000000,0 days 00:30:00.000000000,SQL Prep,Intermediate Tutorial
2020-10-18 04:30:00.000000,2020-10-18 06:00:00.000000,0 days 01:30:00.000000000,CIS520,SVD Lecture
2020-10-18 09:40:00.000000,2020-10-18 10:30:00.000000,0 days 00:50:00.000000000,MKTG101,Watch Lecture
2020-10-18 12:22:13.704887,2020-10-18 14:11:09.158940,0 days 01:48:55.454053000,SQL Prep,Intermediate Tutorial
2020-10-18 15:49:05.742569,2020-10-18 17:30:42.542725,0 days 01:41:36.800156000,SQL Prep,Advanced Tutorial
2020-10-18 17:35:00.000000,2020-10-18 18:00:00.000000,0 days 00:25:00.000000000,Recruiting,Data Science Github Tips
2020-10-19 09:30:00.000000,2020-10-19 10:30:00.000000,0 days 01:00:00.000000000,ECON246,Midterm
2020-10-19 12:26:00.211039,2020-10-19 12:26:04.720291,0 days 00:00:04.509252000,CIS520,PCA
2020-10-19 12:26:12.543526,2020-10-19 15:02:36.396650,0 days 02:36:23.853124000,CIS520,PCA
2020-10-19 16:00:50.618183,2020-10-19 17:05:41.189271,0 days 01:04:50.571088000,SQL Prep,SQLZoo Questions
2020-10-19 17:20:46.169039,2020-10-19 19:29:28.349289,0 days 02:08:42.180250000,Econ Fed,Q&A
2020-10-19 19:45:00.000000,2020-10-19 20:30:00.000000,0 days 00:45:00.000000000,CIS545,Cloud Computing Lecture
2020-10-20 06:00:00.000000,2020-10-20 06:45:00.000000,0 days 00:45:00.000000000,Recruiting,Apply for Data Science Jobs
2020-10-20 10:35:00.000000,2020-10-20 12:00:00.000000,0 days 01:25:00.000000000,ECON233,Lecture
2020-10-20 13:37:47.870395,2020-10-20 15:33:46.209301,0 days 01:55:58.338906000,ECON233,Problem Set 2
2020-10-20 15:45:00.000000,2020-10-20 16:20:00.000000,0 days 00:35:00.000000000,ECON233,Problem Set 2
2020-10-20 18:20:00.000000,2020-10-20 18:45:00.000000,0 days 00:25:00.000000000,ECON233,Problem Set 2
